,Compound,acetonitrile,benzene,butanol,butylacetate,carbontet,chlorofom,chloroform,cyclohexane,dibuthylether,dichloroethane_ions,diethylether,dimethylacetamide,dimethylformamide,dimethylformamide_ions,dimethylofrmamide,dimethylsulfoxide,ethanol,hexadecane,hexane,isopropanol,methanol,nitrobenzene,nitromethane,octanol,propanol,propanone,tetrahydrofuran,toluene,water,xylene,12dichloroethane,19decadiene
203,acenaphthene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.15,,,
204,acetaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5,,,
205,acetic_acid,,-3.62,-6.64,-6.15,,-4.69,,-2.24,-5.37,,-6.23,,,,,,,,,,,-4.78,,-6.46,,,,,-6.69,,-4.65,-2.76
206,acetonitrile,-4.9,,-3.54,,,-4.42,,,-3.2,,-3.62,,,,-4.63,,-3.95,,,,-4.02,,,-3.42,,-3.83,,,-3.88,,-4.29,
207,acetophenone,-7.33,,,,,-8.37,,-6.28,-6.77,,-6.78,,,,-7.63,,,,,,-6.92,,,-6.73,,,,,-4.58,,-7.82,
208,alpha_methylstyrene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.24,,,
209,aniline,-7.72,-6.85,,-7.3,,-7.33,,-5.56,-6.46,,-6.36,,,,,,-7.19,,,,-7.48,-7.15,,-6.71,,-7.96,,,-5.49,,-7.46,
210,anisole,-5.96,,,,,-6.69,,-5.43,,,-5.8,,,,-6.18,,,,,,-5.62,,,-5.32,,,,,-2.45,,,
211,anthracene,-10.15,-11.13,-9.79,-10.94,,-11.41,,-9.7,-10.43,,-10.67,,,,-11.24,-10.56,-10.2,,,,-9.59,,,-10.12,-9.85,-10.91,,,-3.95,,,
212,azetidine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.56,,,
213,benzaldehyde,-6.71,-6.88,,,,-7.08,,-5.56,-6.1,,-6.08,,,,-7.13,,,,,,,,,-6.04,,,,,-4.02,,-7.23,
214,benzamide,,-10.03,,,,-11.16,,-8.38,-9.53,,-10.7,,,,,,,,,,-10.09,,,-11.87,,,,,-11.0,,,
215,benzene,-4.16,-4.54,-3.38,-3.87,,-4.63,,-4.06,-4.1,,-4.19,,,,-4.43,-3.95,-3.79,,,,-3.76,,,-3.76,-3.79,-4.36,,,-0.86,,-4.52,
216,benzonitrile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.21,,,
217,benzotrifluoride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25,,,
218,benzyl_alcohol,-8.02,,,,,-7.93,,-5.31,-8.66,,-7.5,,,,-8.51,,,,,,-7.54,,,-8.12,,,,,-6.62,,-7.69,
219,benzyl_bromide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.38,,,
220,benzyl_chloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.93,,,
221,biphenyl,-9.1,,,,,-9.01,,-8.21,-8.84,,-8.58,,,,-8.93,,-8.29,,,,-7.87,,,-8.18,,,,,-2.66,,-9.33,
222,bis_2_chloroethyl__ether,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.23,,,
223,Br,-59.034,,-60.75,,,,,,,,,,,,-57.839,59.894,-62.094,,,,-63.815,-62.141,-59.512,-62.61,-61.17,,,,-66.4,,-57.08,
224,bromobenzene,-5.75,,,,,-6.4,,,,,,,,,,,,,,,,,,-5.53,,,,,-1.46,,,
225,bromoethane,,,,,,,,,,,,,,,-3.38,,-3.03,,,,,,,,,,,,-0.74,,,
226,bromoethane,,,,,,-3.79,,,,,,,,,,,,,,,,,,-2.93,,,,,-0.74,,-3.6,
227,bromomethane,,,,,,,,,,,,,,,,,,,,,,,,-2.44,,,,,-0.82,,,
228,bromotrifluoromethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,,,
229,but_1_ene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,,,
230,but_1_yne,,,,,,,,,,,,,,,,,,,,,,,,-2.15,,,,,-0.16,,,
231,buta_13_diene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,
232,butan_1_ol,-5.22,-4.56,-6.12,-5.16,,-5.29,,-3.54,-4.68,,-5.55,,,,,,-6.35,,,,-6.21,,,-5.86,-6.1,,,,-4.72,,,
233,butan_2_ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.62,,,
234,butanenitrile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.64,,,
235,butanoic_acid,,-5.04,,-7.29,,-5.98,,-3.6,-6.54,,-7.18,,,,,,,,,,,-5.84,,-7.42,,,,,-6.35,,-6.09,-4.43
236,butanone,-4.87,-4.53,,,,-5.27,,-3.37,-3.72,,-4.16,,,,-4.7,-4.39,-4.31,,,,-4.55,,-4.72,-4.1,-4.19,-4.77,,,-3.71,,-4.96,
237,butyraldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.18,,,
238,chlorobenzene,-5.15,,,,,,,,,,,,,,-5.54,,-5.02,,,,-5.11,,,,,-5.51,,,-1.12,,,
239,chlorobenzene,,,,,,-5.75,,,,,,,,,,,,,,,,,,-5.06,,,,,-1.12,,,
240,chlorodifluoromethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,,,
241,chloroethane,,,,,,,,,,,,,,,-2.74,,,,,,,,,-2.58,,,,,-0.63,,,
242,chloroethylene,,,,,,,,,,,,,,,,,,,,,,,,-2.66,,,,,-0.59,,,
243,chlorofluoromethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.77,,,
244,chloromethane,,,,,,-2.48,,,,,,,,,-2.36,,,,,,,,,-1.79,,,,,-0.55,,,
245,cis_12_dimethylcyclohexane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,,,
246,Cl,-62.62,,-65.73,,,,,,,,,,,,-61.185,63.026,-67.83,,,,-69.551,-65.727,-63.647,-68.19,-66.61,,,,-72.7,,-59.82,
247,Cs,-71.702,,-68.67,,,,,,,,,,,,-75.765,76.243,-69.551,,,,-70.985,-69.551,-71.797,,-68.93,,,,-73.1,,-67.37,
248,cyanobenzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.1,,,
249,cyclohepta_135_triene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.99,,,
250,cycloheptanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.48,,,
251,cyclohexane,-2.86,-4.05,-3.5,-3.9,,-4.45,,-4.41,-4.1,,-4.18,,,,-3.15,-2.26,-3.47,,,,-3.16,,,-3.46,-3.47,-3.39,,,1.23,,-3.8,
252,cyclohexanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.46,,,
253,cyclohexanone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.91,,,
254,cyclohexene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,
255,cyclohexylamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.59,,,
256,cyclopentane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,
257,cyclopentanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.49,,,
258,cyclopentanone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.7,,,
259,cyclopentene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,
260,cyclopropane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,
261,decan_1_ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.64,,,
262,decan_2_one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.34,,,
263,di_isopropyl_sulfide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.21,,,
264,di_n_butyl_ether,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.83,,,
265,di_n_butylamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.24,,,
266,di_n_propyl_ether,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.16,,,
267,di_n_propyl_sulfide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.28,,,
268,di_n_propylamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.65,,,
269,dibromomethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.96,,,
270,dichloromethane,-3.95,,-3.39,,,-4.03,,,-3.2,,-3.87,,,,,-4.21,,,,,-3.42,,,-3.01,,-4.24,,,-1.31,,-3.72,
271,diethoxymethoxybenzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.23,,,
272,diethyl_disulfide,,,,,,,,-5.73,,,,,,,,,,,,,,,,-5.45,,,,,-1.64,,,
273,diethyl_ether,,,-2.91,,,-4.15,,-2.49,-3.14,,-2.95,,,,,,,,,,-3.1,,,-2.8,,,,,-1.59,,-3.31,
274,diethyl_malonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0,,,
275,diethyl_succinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.71,,,
276,diethyl_sulfide,,,,,,,,-3.81,,,,,,,,,,,,,,,,-3.55,,,,,-1.46,,,
277,diethylamine,,,-5.64,,,,,-3.61,,,,,,,,,,,,,-5.09,,,,-5.62,,,,-4.07,,,
278,diiodomethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.49,,,
279,diisopropyl_ether,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.53,,,
280,diisopropylamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.22,,,
281,dimethoxymethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.93,,,
282,dimethyl_disulfide,,,,,,,,,,,,,,,,,,,,,,,,-4.24,,,,,-1.83,,,
283,dimethyl_ether,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.91,,,
284,dimethyl_sulfate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.1,,,
285,dimethyl_sulfide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.61,,,
286,dimethyl_sulfone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.08,,,
287,dimethyl_sulfoxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.71,,,
288,dimethylamine,,-3.01,,,,-3.69,,,,,-2.63,,,,-2.87,,-3.27,,,,-3.5,,,-2.72,-2.98,,,,-4.29,,,
289,E_12_dichloroethene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78,,,
290,E_but_2_enal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.22,,,
291,E_hept_2_ene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,,,
292,E_hex_2_enal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.68,,,
293,E_oct_2_enal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.43,,,
294,ethanamide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.71,,,
295,ethane,,,-0.58,,,,,-0.97,,,-1.15,,,,-0.3,,-0.59,,,,-0.52,,,-0.63,-0.61,,,,1.83,,,
296,ethanethiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.14,,,
297,ethanol,-4.31,-2.8,-5.46,-3.64,,-3.82,,-2.43,-3.26,,-4.23,,,,-5.18,-5.31,-5.08,,,,-5.27,,-4.16,-4.58,-4.78,-4.37,,,-5.0,,-3.64,
298,ethene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,
299,ethyl_acetate,-4.47,-4.31,-3.83,,,-5.39,,-3.4,,,-4.2,,,,-4.26,-3.83,,,,,,,,-3.93,,,,,-2.94,,-4.76,
300,ethyl_benzoate,,,,,,,,,-7.86,,,,,,,,,,,,,,,-7.24,,,,,-3.64,,-7.86,
301,ethyl_butanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.49,,,
302,ethyl_formate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.56,,,
303,ethyl_hexanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.23,,,
304,ethyl_pentanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.49,,,
305,ethyl_phenyl_ether,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.22,,,
306,ethyl_propanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.68,,,
307,ethylamine,,-2.73,,,,-4.02,,-2.05,,,-2.89,,,,,,,,,,,,,-4.09,,,,,-4.5,,-3.08,
308,ethylbenzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.79,,,
309,fluorene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.35,,,
310,fluorobenzene,,,,,,-4.26,,,-5.46,,,,,,,,,,,,,,,-3.89,,,,,-0.8,,,
311,fluoromethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22,,,
312,formaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.75,,,
313,halothane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,,,
314,hept_1_ene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,,,
315,hept_1_yne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,
316,heptan_1_ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.21,,,
317,heptan_2_one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.04,,,
318,heptan_4_one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.92,,,
319,heptanal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.67,,,
320,hex_1_ene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,,,
321,hex_1_yne,,,,,,,,,,,,,,,,,,,,,,,,-3.43,,,,,0.29,,,
322,hexa_15_diene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,
323,hexafluoropropene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.76,,,
324,hexan_1_ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.4,,,
325,hexan_2_one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.28,,,
326,hexan_3_ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.06,,,
327,hexanal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.81,,,
328,hexanoic_acid,,,,,,,,,,,,,,,,,,,,,,-7.26,,,,,,,-6.21,,,
329,hydrazine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.3,,,
330,hydrogen_sulfide,,,,,,-0.51,,,,,-1.99,,,,,,,,,,,,,,,,,,-0.7,,,
331,hydrogen_sulfide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,,,
332,I,-54.015,,-52.83,,,,,,,,,,,,-53.298,55.592,-54.995,,,,-56.405,-63.576,-53.561,-54.77,-53.51,,,,-58.1,,-52.13,
333,imidazole,,,,,,-8.5,,-4.58,,,,,,,,,,,,,,,,,,,,,-9.63,,,
334,indane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.46,,,
335,iodobenzene,,,,,,-6.6,,,,,-6.64,,,,-6.76,,,,,,-6.15,,,-6.17,,,,,-1.74,,,
336,iodoethane,,,,,,,,,,,,,,,-3.92,,-3.53,,,,-3.59,,,,-3.49,,,,-0.74,,,
337,iodoethane,,,,,,,,,,,-3.76,,,,,,,,,,,,,-3.46,,,,,-0.74,,-4.2,
338,iodomethane,,,,,,-3.79,,,,,,,,,-3.49,,-2.99,,,,-3.2,,,-2.95,,,,,-0.89,,-3.61,
339,isoamyl_acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.21,,,
340,isoamyl_formate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.13,,,
341,isobutyl_acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.36,,,
342,isobutyl_formate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.22,,,
343,isobutyl_isobutanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.69,,,
344,isobutylbenzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,
345,isobutyraldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.86,,,
346,isoflurane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,
347,isopropyl_acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.64,,,
348,isopropyl_formate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.02,,,
349,isopropylbenzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,
350,K,-79.828,,-79.37,,,,,,,,,,,,-86.52,-87.237,-80.21,,,,-81.74,-78.633,-80.449,-80.93,-79.86,,,,-84.1,,-77.89,
351,Li,-120.459,,,,,,,,,,,,,,-128.824,-130.2,-123.805,,,,-125.478,-117.352,-114.962,-123.89,-123.7,,,,-126.4,,-119.96,
352,m_bis_trifluoromethyl__benzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,
353,m_cresol,,-6.66,,,,-6.69,,-5.2,,,-7.95,,,,,,,,,,-6.6,-7.29,,-8.17,,,,,-5.49,,-6.91,
354,m_xylene,-4.98,,,-6.05,,-5.84,,-5.54,,,-5.54,,,,-5.17,,,,,,,,,-5.19,,,,,-0.83,,-5.96,
355,methane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,,,
356,methanesulfonyl_chloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.87,,,
357,methanethiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.24,,,
358,methanol,-4.01,-2.53,-4.72,-2.73,,-3.39,,-1.71,-2.65,,-3.54,,,,-4.65,,-4.64,,,,-4.93,-2.93,,-4.09,-4.3,-4.15,,,-5.1,,-2.95,
359,methoxyflurane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.12,,,
360,methyl_acetate,,-3.85,,,,-4.71,,-2.87,,,-3.71,,,,,,,,,,-3.8,,,-3.37,,,,,-3.13,,-4.2,-3.23
361,methyl_benzoate,-7.83,-7.97,,,,-7.73,,-6.75,,,,,,,,,,,,,,,,-6.9,,,,,-3.92,,,
362,methyl_butanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.83,,,
363,methyl_chloroacetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,,,
364,methyl_cyanoacetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.72,,,
365,methyl_cyclohexanecarboxylate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3,,,
366,methyl_cyclohexyl_ketone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9,,,
367,methyl_cyclopropanecarboxylate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.1,,,
368,methyl_cyclopropyl_ketone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.61,,,
369,methyl_ethyl_ether,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1,,,
370,methyl_ethyl_sulfide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,,,
371,methyl_formate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.78,,,
372,methyl_hexanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.49,,,
373,methyl_isopropyl_ether,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.01,,,
374,methyl_methanesulfonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.87,,,
375,methyl_octanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.04,,,
376,methyl_p_methoxybenzoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.33,,,
377,methyl_p_nitrobenzoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.88,,,
378,methyl_pentanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.56,,,
379,methyl_propanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.93,,,
380,methyl_propyl_ether,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.66,,,
381,methyl_t_butyl_ether,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.21,,,
382,methyl_tert_butyl_ether,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.21,,,
383,methyl_trifluoroacetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,,,
384,methyl_trimethylacetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,,,
385,methylamine,,,-2.89,,,,,,,,-2.32,,,,-2.66,,,,,,,,,,,,,,-4.55,,,
386,methylcyclohexane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,
387,methylcyclopentane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,,,
388,morpholine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.17,,,
389,N_acetylpyrrolidine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.8,,,
390,n_butane,,,-1.96,,,,,-2.85,-2.44,,,,,,-1.48,,-1.91,,,,-1.74,,,-1.86,-1.98,-1.7,,,2.07,,,
391,n_butanethiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.99,,,
392,n_butyl_acetate,,-5.87,,-5.57,,-6.79,,-5.02,-5.72,,,,,,,,,,,,-5.44,,,-5.06,,,,,-2.64,,-6.01,
393,n_butylacetamide,,,,,,,,-6.73,,,,,,,,,,,,,,,,,,,,,-9.31,,,
394,n_butylamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.24,,,
395,n_butylbenzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,,
396,n_decane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,,,
397,n_heptane,-3.15,-4.5,-3.87,-4.22,,-4.57,,-4.73,-4.51,,,,,,-3.16,-2.1,-3.69,,,,-3.35,,,-3.69,-3.73,-3.81,,,2.67,,-4.06,
398,n_heptylamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.79,,,
399,n_hexane,-2.68,-3.63,-3.31,-3.58,,-3.9,,-4.07,-3.85,,,,,,-2.72,-1.73,-3.05,,,,-2.8,,,-3.02,-3.1,-3.24,,,2.48,,-3.42,
400,n_hexyl_acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.26,,,
401,n_hexylamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.95,,,
402,n_hexylbenzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,,,
403,N_methyl_N__222_trifluoroethyl__aniline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.92,,,
404,N_methylacetamide,,,,,,,,,,,,,,,,,,,,,,,,-8.57,,,,,-10.0,,,
405,N_methylaniline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.69,,,
406,N_methylmorpholine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.32,,,
407,N_methylpiperazine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.77,,,
408,N_methylpiperidine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.88,,,
409,n_nonane,,,,,,,,,,,,,,,,,,,,,,,,-4.55,,,,,3.13,,,
410,n_octane,-3.66,-5.36,-4.53,-4.84,,-5.29,,-5.64,-5.24,,-5.33,,,,-3.84,-2.87,-4.31,,,,-3.85,,-3.15,-4.12,-4.31,-4.42,,,2.88,,-4.68,
411,n_octylamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.65,,,
412,n_pentane,-2.09,-3.0,-2.72,-2.92,,-3.22,,-3.49,-3.17,,,,,,-2.07,-1.48,-2.42,,,,-2.27,,,-2.46,-2.46,-2.71,,,2.32,,-2.71,
413,n_pentyl_acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.51,,,
414,n_pentyl_propanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.11,,,
415,n_pentylamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.09,,,
416,n_pentylbenzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23,,,
417,n_pentylcyclopentane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,,
418,n_propanethiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.06,,,
419,n_propyl_acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.79,,,
420,n_propyl_butyrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.28,,,
421,n_propyl_formate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.48,,,
422,n_propyl_propanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.44,,,
423,n_propylamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.39,,,
424,n_propylbenzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.53,,,
425,n_propylcyclopentane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13,,,
426,Na,-97.753,,-96.57,,,,,,,,,,,,-103.728,-104.54,-97.992,,,,-99.426,-93.212,-93.786,-98.26,-97.28,,,,-101.3,,-95.33,
427,naphthalene,-7.68,,,,,-7.9,,-7.04,,,-7.79,,,,-7.78,-7.67,-7.14,,,,-7.01,,,-6.89,-7.11,-7.89,,,-2.4,,-8.05,
428,nitrobenzene,,,,,,-7.78,,,-7.21,,,,,,,,,,,,-6.76,-7.94,,-6.64,,,,,-4.12,,-8.38,
429,nitroethane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.71,,,
430,nitromethane,-5.48,,-3.87,,,-4.61,,-2.76,-3.53,,,,,,-5.57,-5.64,-4.22,,,,-4.69,-4.9,-5.38,-4.69,-3.88,-5.22,,,-4.02,,,
431,NN_dimethyl_p_methylbenzamide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.01,,,
432,NN_dimethyl_p_nitrobenzamide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.76,,,
433,NN_dimethylaniline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.95,,,
434,NN_dimethylbenzamide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.45,,,
435,NN_dimethylformamide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.81,,,
436,non_1_ene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,,,
437,nonan_1_ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.88,,,
438,nonan_2_one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.49,,,
439,nonan_5_one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.64,,,
440,nonanal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.07,,,
441,o_cresol,-7.71,-7.44,,,,,,,,,,,,,,,,,,,,-8.16,,,,,,,-5.87,,,
442,o_toluidine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.53,,,
443,o_xylene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,,,
444,oct_1_ene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,,,
445,oct_1_yne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,
446,octan_1_ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.09,,,
447,octan_2_one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.88,,,
448,octanal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.29,,,
449,p_cresol,-7.93,-7.34,,,,-7.58,,-5.65,,,,,,,-8.35,,,,,,-6.76,-8.13,,-8.82,,,,,-6.13,,-7.75,
450,p_dibromobenzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3,,,
451,p_toluidine,,,,,,-8.22,,-6.33,,,,,,,,,,,,,,,,-7.46,,,,,-5.57,,,
